"visit_date","utm_source","utm_medium","utm_campaign","visitors_count","total_cost","leads_count","purchase_count","revenue"
2023-06-01,yandex,cpc,freemium,107,2316978,104,25,1654810
2023-06-01,yandex,cpc,prof-frontend,79,4513902,74,12,1057000
2023-06-01,yandex,cpc,prof-python,65,2146690,64,8,764388
2023-06-01,yandex,cpc,base-python,32,400768,29,7,476021
2023-06-01,vk,cpc,prof-python,74,150072,43,5,355564
2023-06-01,vk,cpc,freemium-frontend,81,255960,44,5,338083
2023-06-01,yandex,cpc,prof-java,52,1533480,52,4,284590
2023-06-01,yandex,cpc,base-frontend,42,758562,41,3,268515
2023-06-01,vk,cpc,prof-java,51,158865,23,2,232726
2023-06-01,yandex,cpc,prof-data-analytics,15,151290,15,2,220264
2023-06-01,yandex,cpc,prof-professions-brand,13,62634,13,3,154287
2023-06-01,yandex,cpc,dod-php,4,23856,4,1,150255
2023-06-01,yandex,cpc,base-professions-retarget,4,604,4,1,134100
2023-06-01,vk,cpc,prof-data-analytics,50,53600,31,1,84000
2023-06-01,yandex,cpc,base-java,20,385040,20,1,48000
